"filename", "language", "XMake", "C++", "Python", "Markdown", "JSON", "GLSL", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeengine.hh", "C++", 0, 67, 0, 0, 0, 0, 0, 15, 82
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\routeerror.hh", "C++", 0, 43, 0, 0, 0, 0, 3, 13, 59
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\cli\cli.cc", "C++", 0, 49, 0, 0, 0, 0, 0, 11, 60
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\cli\cli.hh", "C++", 0, 6, 0, 0, 0, 0, 0, 4, 10
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\gui\gui.cc", "C++", 0, 23, 0, 0, 0, 0, 0, 8, 31
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\gui\gui.hh", "C++", 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\kiwi.cc", "C++", 0, 132, 0, 0, 0, 0, 5, 27, 164
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\app\main.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\basedie.cc", "C++", 0, 372, 0, 0, 0, 0, 6, 90, 468
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\basedie.hh", "C++", 0, 106, 0, 0, 0, 0, 3, 31, 140
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\connection.cc", "C++", 0, 10, 0, 0, 0, 0, 0, 5, 15
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\connection.hh", "C++", 0, 40, 0, 0, 0, 0, 0, 11, 51
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\pin.cc", "C++", 0, 40, 0, 0, 0, 0, 0, 14, 54
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\connection\pin.hh", "C++", 0, 99, 0, 0, 0, 0, 0, 15, 114
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\export\export.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\export\export.hh", "C++", 0, 20, 0, 0, 0, 0, 0, 9, 29
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.cc", "C++", 0, 32, 0, 0, 0, 0, 0, 11, 43
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\net.hh", "C++", 0, 113, 0, 0, 0, 0, 12, 22, 147
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\nets.hh", "C++", 0, 9, 0, 0, 0, 0, 0, 6, 15
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.cc", "C++", 0, 163, 0, 0, 0, 0, 0, 35, 198
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbnet.hh", "C++", 0, 46, 0, 0, 0, 0, 0, 10, 56
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.cc", "C++", 0, 173, 0, 0, 0, 0, 0, 33, 206
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\bbsnet.hh", "C++", 0, 43, 0, 0, 0, 0, 0, 9, 52
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.cc", "C++", 0, 157, 0, 0, 0, 0, 1, 32, 190
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btnet.hh", "C++", 0, 45, 0, 0, 0, 0, 0, 10, 55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.cc", "C++", 0, 167, 0, 0, 0, 0, 0, 36, 203
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\btsnet.hh", "C++", 0, 45, 0, 0, 0, 0, 0, 10, 55
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.cc", "C++", 0, 447, 0, 0, 0, 0, 2, 67, 516
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\circuit\net\types\syncnet.hh", "C++", 0, 73, 0, 0, 0, 0, 3, 22, 98
